INFO 2024-06-25 09:47:19,368 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\hmac.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\urllib\parse.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1718659995.6108174
DEBUG 2024-06-25 09:47:19,825 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\urllib\__init__.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1718915696.3160462
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1718659995.4777513
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\functools.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\urllib\request.py first seen with mtime 1652795112.0
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\html\entities.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1718659992.8821573
DEBUG 2024-06-25 09:47:19,826 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1718659994.913889
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\_parseaddr.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1718659993.7768373
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\schemas\openapi.py first seen with mtime 1718915696.2170248
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1718659995.4877553
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1718659995.338408
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1718659995.3504112
DEBUG 2024-06-25 09:47:19,827 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1718659995.6470366
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\email\quoprimime.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1718659995.6480374
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1718659995.6610396
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1718659994.9128323
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\rest_framework\reverse.py first seen with mtime 1718915696.1090002
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\encodings\utf_8.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,828 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1718659995.5822978
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1718659995.5924733
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1718659995.3022466
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1718659995.3042474
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\re.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\project\cakes\main\__init__.py first seen with mtime 1718659537.1453445
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\utils\http.py first seen with mtime 1718659995.6309204
DEBUG 2024-06-25 09:47:19,829 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1718659992.5423453
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\sqlite3\features.py first seen with mtime 1718659995.447683
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1718659995.5017555
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1718659993.58069
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1718659995.4486835
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\asyncio\queues.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1718659995.586303
DEBUG 2024-06-25 09:47:19,830 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1718659995.4977548
DEBUG 2024-06-25 09:47:19,831 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python39\Lib\fractions.py first seen with mtime 1652795110.0
DEBUG 2024-06-25 09:47:19,832 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1718659995.4486835
DEBUG 2024-06-25 09:47:19,832 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1718659995.5762968
DEBUG 2024-06-25 09:47:19,832 autoreload File C:\Users\User\Desktop\cakesTP\.venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1718659994.5911658
